Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
booking,Chrome 75.0.3770.142,,2019-07-25 11:40:12,2019-07-25 11:43:51,3m - 39.689s,FAILED
,,,,,,
Test Cases/dokter new/dokter - booking not login,Chrome 75.0.3770.142,,2019-07-25 11:40:12,2019-07-25 11:40:31,19.075s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,2019-07-25 11:40:13,2019-07-25 11:40:17,3.966s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,2019-07-25 11:40:17,2019-07-25 11:40:18,1.143s,PASSED
"navigateToUrl(target + ""sehatq.com/dokter/dr-patrianef-spbkv"")",Chrome 75.0.3770.142,,2019-07-25 11:40:18,2019-07-25 11:40:19,1.696s,PASSED
"click(findTestObject(""dokter new/booking not login/input_View Map_date""))",Chrome 75.0.3770.142,,2019-07-25 11:40:19,2019-07-25 11:40:20,0.359s,PASSED
"click(findTestObject(""Object Repository/dokter new/booking not login/th_Juli 2019""))",Chrome 75.0.3770.142,,2019-07-25 11:40:20,2019-07-25 11:40:31,11.650s,FAILED
,,,,,,
Test Cases/dokter new/dokter - booking logged in,Chrome 75.0.3770.142,,2019-07-25 11:40:31,2019-07-25 11:41:50,1m - 18.331s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,2019-07-25 11:40:32,2019-07-25 11:40:35,3.227s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,2019-07-25 11:40:35,2019-07-25 11:40:36,1.174s,PASSED
"navigateToUrl(target + ""sehatq.com/dokter/dr-patrianef-spbkv"")",Chrome 75.0.3770.142,,2019-07-25 11:40:36,2019-07-25 11:40:38,1.779s,PASSED
waitForPageLoad(5),Chrome 75.0.3770.142,,2019-07-25 11:40:38,2019-07-25 11:40:40,1.794s,PASSED
"click(findTestObject(""rumah sakit/booking logged in/button_Login  Daftar Baru""))",Chrome 75.0.3770.142,,2019-07-25 11:40:40,2019-07-25 11:40:40,0.752s,PASSED
"waitForElementVisible(findTestObject(""rumah sakit/booking logged in/input_Alamat E-Mail_email""), 5)",Chrome 75.0.3770.142,,2019-07-25 11:40:40,2019-07-25 11:40:41,0.608s,PASSED
"setText(findTestObject(""rumah sakit/booking logged in/input_Alamat E-Mail_email""), ""kuning@color.com"")",Chrome 75.0.3770.142,,2019-07-25 11:40:41,2019-07-25 11:40:42,0.525s,PASSED
"setText(findTestObject(""rumah sakit/booking logged in/input_Kata Sandi_password""), ""123sehatQ!"")",Chrome 75.0.3770.142,,2019-07-25 11:40:42,2019-07-25 11:40:42,0.392s,PASSED
