Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login regis,Chrome 75.0.3770.142,,2019-07-25 11:23:19,2019-07-25 11:25:06,1m - 46.694s,FAILED
,,,,,,
Test Cases/login regis/regis - normal regis,Chrome 75.0.3770.142,,2019-07-25 11:23:20,2019-07-25 11:23:43,22.987s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,2019-07-25 11:23:20,2019-07-25 11:23:24,3.828s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,2019-07-25 11:23:24,2019-07-25 11:23:25,1.159s,PASSED
"navigateToUrl(target + ""sehatq.com/"")",Chrome 75.0.3770.142,,2019-07-25 11:23:25,2019-07-25 11:23:26,1.372s,PASSED
waitForPageLoad(5),Chrome 75.0.3770.142,,2019-07-25 11:23:26,2019-07-25 11:23:29,2.482s,PASSED
rng = Math.random() * 100000000,Chrome 75.0.3770.142,,2019-07-25 11:23:29,2019-07-25 11:23:29,0.033s,PASSED
"randomemail = ""test@"" + rng + "".com""",Chrome 75.0.3770.142,,2019-07-25 11:23:29,2019-07-25 11:23:29,0.002s,PASSED
"click(findTestObject(""Object Repository/login regis/regis/button_Login  Daftar Baru""))",Chrome 75.0.3770.142,,2019-07-25 11:23:29,2019-07-25 11:23:29,0.175s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/login regis/regis/input_Alamat E-Mail_email""), 5)",Chrome 75.0.3770.142,,2019-07-25 11:23:29,2019-07-25 11:23:30,0.685s,PASSED
"click(findTestObject(""Object Repository/login regis/regis/button_Daftar""))",Chrome 75.0.3770.142,,2019-07-25 11:23:30,2019-07-25 11:23:30,0.096s,PASSED
"waitForElementVisible(findTestObject(""login regis/regis/input_Nama_name""), 5)",Chrome 75.0.3770.142,,2019-07-25 11:23:30,2019-07-25 11:23:31,1.117s,PASSED
"setText(findTestObject(""Object Repository/login regis/regis/input_Nama_name""), ""Automated registration test"")",Chrome 75.0.3770.142,,2019-07-25 11:23:31,2019-07-25 11:23:32,1.386s,PASSED
"setText(findTestObject(""Object Repository/login regis/regis/input_Email_email""), randomemail)",Chrome 75.0.3770.142,,2019-07-25 11:23:32,2019-07-25 11:23:33,0.355s,PASSED
"setEncryptedText(findTestObject(""Object Repository/login regis/regis/input_Kata Sandi_password""), ""VU1orW/zbPMAsSeA5V5+EA=="")",Chrome 75.0.3770.142,,2019-07-25 11:23:33,2019-07-25 11:23:33,0.385s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/login regis/regis/select_Tanggal""), ""1"", true)",Chrome 75.0.3770.142,,2019-07-25 11:23:33,2019-07-25 11:23:34,0.643s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/login regis/regis/select_Bulan""), ""1"", true)",Chrome 75.0.3770.142,,2019-07-25 11:23:34,2019-07-25 11:23:34,0.391s,PASSED
